Date,Miles,Speed,Steps0,Steps1,TotalSteps,Steps/Mile,Calories,Weight
03/28/20,2,3,324,5089,4765,2382.25,170,
03/28/20,3,2,5289,13786.02,8497,2832.34,255,153
03/29/20,2,2,257,5845,5588,2794,170,
03/29/20,6,2,6683,23575,16892,2815.33,510,150
03/30/20,3,2,280,8787,8507,2835.67,255,
03/30/20,3,3,9466,16034,6568,2189.33,255,
03/30/20,4,3,16458,26163,9705,2426.25,340,148
03/31/20,4,3,77,9570,9493,2373.25,340,
03/31/20,4,3,11151,19980,8829,2207.25,340,146.5
04/01/20,5,3,590,12364,11774,2354.8,425,
04/01/20,3,2,12767,21452,8685,2895,255,
04/01/20,2,2,21506,27383,5877,2938.5,170,148.5
04/02/20,2,2,179,5945,5766,2883,170,
04/02/20,3,2,6032,14644,8612,2870.67,255,148.5
04/03/20,6,2,226,17184,16958,2826.33,510,
04/03/20,4,2,18042,29399,11357,2839.25,340,
04/03/20,2,2,30205,35944,5739,2869.5,170,
04/03/20,2,2,36142,41790,5648,2824,170,146
04/04/20,1,2,1281,4086,2805,2805,85,
04/04/20,2,2,4164,10491,6327,3163.5,170,146.5
04/05/20,6,2,244,17253,17009,2834.83,510,
04/05/20,3,2,17259,26870,9611,3203.67,255,146.5
04/06/20,2,2,250,5960,5710,2855,170,
04/06/20,1,2,6190,9150,2960,2960,85,
04/06/20,3,2,9196,17742,8546,2848.67,255,
04/06/20,1,2,18072,20943,2871,2871,85,
04/06/20,3,2,20974,29655,8681,2893.67,255,146
04/07/20,3,2,1021,9607,8586,2862,255,
04/07/20,7,2,10165,30697,20532,2933.14,595,145.5
04/08/20,1,2,401,3410,3009,3009,85,
04/08/20,4,2,4711,16477,11766,2941.5,340,
04/08/20,5,2,17188,32162,14974,2994.8,425,144
04/09/20,3,2,152,9111,8959,2986.33,255,
04/09/20,3,2,9603,18077,8474,2824.67,255,
04/09/20,2,2,18256,24071,5815,2907.5,170,145
04/10/20,4,3,3061,14299,11238,2809.5,340,144.5
04/11/20,2,2,132,5740,5608,2804,170,
04/11/20,9,2,6046,31530,25484,2831.56,765,143.5
04/12/20,3,3,153,7637,7484,2494.67,255,
04/12/20,6,3,8329,22491,14162,2360.33,510,
04/12/20,3,3,22865,30033,7168,2389.33,255,143
04/13/20,4,2,563,11983,11420,2855,340,
04/13/20,2,2,13053,18794,5741,2870.5,170,142
04/14/20,5,2,772,15120,14348,2869.60,425,
04/14/20,5,2,17093,31090,13997,2799.40,425,142
04/15/20,2,2,708,6847,6139,3069.50,170,141
04/16/20,6,2,574,17648,17074,2845.67,510,
04/16/20,2,2,17941,23625,5684,2842.00,170,
04/16/20,2,2,23828,29625,5797,2898.50,170,141.5
04/17/20,3,2,121,8783,8662,2887.33,255,
04/17/20,7,2,9119,29910,20791,2970.14,595,140.5
04/18/20,4,2,105,11299,11194,2798.50,340,
04/18/20,1,4,11529,14013,2484,2484.00,85,
04/18/20,1,4,14037,16577,2540,2540.00,85,
04/18/20,4,2,16836,28300,11464,2866.00,340,140
04/19/20,3,2,913,9772,8859,2953.00,255,
04/19/20,4,2,10530,22549,12019,3004.75,340,141
04/20/20,2,2,356,7201,6845,3422.50,170,
04/20/20,2,2,7240,13294,6054,3027.00,170,
04/20/20,1,2,13474,16487,3013,3013.00,85,
04/20/20,2,2,16566,23026,6460,3230.00,170,
04/20/20,3,2,23063,32185,9122,3040.67,255,
04/20/20,9,3,32473,53891,21418,2379.78,765,139
04/21/20,2,2,787,6983,6196,3098.00,170,
04/21/20,2,2,7073,13021,5948,2974.00,170,140.5
04/22/20,5,2,249,15191,14942,2988.40,425,
04/22/20,4,2,15383,28348,12965,3241.25,340,
04/22/20,3,2,28426,38069,9643,3214.33,255,139
04/23/20,4,2,524,13262,12738,3184.50,340,139
04/24/20,5,2,310,15560,15250,3050.00,425,
04/24/20,5,2,16283,32946,16663,3332.60,425,137
04/25/20,7,2,1775,28258,26483,3783.29,595,138
04/26/20,6,2,777,20568,19791,3298.50,510,
04/26/20,4,2,20761,34016,13255,3313.75,340,137.5
04/27/20,2,2,473,7009,6536,3268.00,170,137
04/28/20,4,2,640,16450,15810,3952.50,340,
04/28/20,6,2,17588,36061,18473,3078.83,510,138
04/29/20,4,2,3802,15432,11630,2907.50,340,
04/29/20,2,2,15707,21825,6118,3059.00,170,138
04/30/20,5,2,202,14763,14561,2912.20,425,
04/30/20,5,2,15292,30793,15501,3100.20,425,136
05/01/20,5,2,3798,18370,14572,2914.40,425,135.5
05/02/20,10,2,2310,33360,31050,3105.00,850,135.5
05/03/20,4,2,4759,16977,12218,3054.50,340,134.5
05/04/20,3,2,428,10081,9653,3217.67,255,
05/04/20,4,2,10754,22846,12092,3023.00,340,134.5
05/05/20,6,3,273,14114,13841,2306.83,510,
